cps_identifier,logrhk,age
gl806,-4.819,2.88
gl87,-4.983,5.26
gl908,-5.045,6.56
hip103039,-4.977,5.15
hip103269,-4.915,4.11
hip104432,-5.243,12.19
hip10449,-4.833,3.03
hip106924,-4.836,3.07
hip109388,-4.882,3.63
hip11048,-4.491,0.83
hip114914,-4.972,5.05
hip115332,-4.946,4.59
hip117886,-4.501,0.88
hip1368,-4.515,0.94
hip15904,-4.857,3.31
hip16404,-5.083,7.46
hip19165,-4.743,2.19
hip21556,-4.904,3.94
hip22627,-4.901,3.89
hip22762,-4.928,4.31
hip23512,-5.076,7.29
hip24284,-5.02,6.01
hip30112,-4.487,0.81
hip36338,-5.137,8.89
hip36834,-4.938,4.47
hip37217,-5.141,8.99
hip41689,-4.793,2.62
hip42220,-4.841,3.12
hip428,-4.575,1.21
hip46655,-5.189,10.44
hip46769,-4.64,1.53
hip47513,-4.712,1.96
hip48714,-4.315,0.08
hip51007,-4.559,1.14
hip52942a,-4.962,4.87
hip53020,-4.952,4.7
hip54532,-4.94,4.5
hip55360,-4.808,2.76
hip57050,-5.077,7.31
hip57087,-5.104,7.98
hip57450,-5.02,6.0
hip57548,-5.018,5.95
hip59406b,-5.135,8.83
hip60559,-5.286,13.7
hip60633,-4.872,3.5
hip63510,-3.792,0.0
hip66459,-4.683,1.78
hip67164,-5.188,10.41
hip70865,-4.752,2.26
hip70975,-5.249,12.42
hip71253,-5.076,7.27
hip71898,-5.085,7.51
hip74995,-5.202,10.85
hip80295,-4.692,1.83
hip8051,-4.849,3.22
hip80824,-5.078,7.34
hip83043,-4.564,1.17
hip84099,-5.039,6.42
hip84790,-5.117,8.35
hip86961,-4.499,0.87
hip87062,-4.882,3.63
hip89215,-4.911,4.05
hip91699,-4.917,4.13
lhs462,-5.153,9.35
s101438b,-5.015,5.9
s11844,-4.915,4.1
s122446,-4.694,1.85
s130811,-4.909,4.01
