CPS Name,Lit. Name,system_name,sysname,cps_identifier,comp_ind,Msini,Msini_high,Msini_low,a,a_high,a_low,ecc,ecc_high,ecc_low,teff,teff_err,feh,feh_err,logg,logg_err,Rstar,Rstar_err,Mstar,Mstar_err,Vmag,BV_color,parallax
HD 213472 b,HD 213472 b,HD 213472,HD213472,213472,0,3.48,1.1,0.59,13.0,5.7,2.6,0.53,0.12,0.085,5729.5,99.4,0.125,0.062,4.145,0.032,1.434,0.033,1.048,0.051,4.1273,0.7,0.01549
HD 216520 b,HIP 112527 b,HD 216520,HD216520,216520,0,0.0326,0.0036,0.0038,0.1954,0.0025,0.0025,0.19,0.13,0.12,5160.0,69.5,-0.124,0.057,4.545,0.023,0.783,0.014,0.791,0.03,6.0314,0.86,0.05112
HD 217014 b,51 Peg b,HD 217014,HD217014,217014,0,0.464,0.014,0.014,0.05236,0.00076,0.00079,0.0042,0.0046,0.003,5760.8,95.5,0.206,0.06,4.317,0.031,1.187,0.028,1.069,0.047,4.5579,0.67,0.06465
HD 217107 b,HD 217107 b,HD 217107,HD217107,217107,0,1.385,0.039,0.039,0.0739,0.001,0.0011,0.1279,0.0017,0.0016,5606.8,94.3,0.34,0.06,4.325,0.03,1.172,0.028,1.06,0.045,4.7055,0.72,0.04982
HD 217107c,HD 217107c,HD 217107,HD217107,217107,1,4.31,0.13,0.13,5.944,0.083,0.086,0.3928,0.0069,0.0067,5606.8,94.3,0.34,0.06,4.325,0.03,1.172,0.028,1.06,0.045,4.7055,0.72,0.04982
HD 218566 b,HD 218566 b,HD 218566,HD218566,218566,0,0.198,0.018,0.018,0.6875,0.0082,0.0085,0.268,0.1,0.095,4942.9,63.1,0.298,0.058,4.529,0.024,0.831,0.015,0.855,0.031,6.2187,1.02,0.03466
HD 219134 d,HD 219134 d,HD 219134,HD219134,219134,0,0.013,0.001,0.0011,0.03838,0.00043,0.00043,0.063,0.07,0.045,4817.1,62.0,0.083,0.058,4.575,0.021,0.757,0.013,0.788,0.027,6.4869,1.01,0.15308
HD 219134 f,HD 219134 f,HD 219134,HD219134,219134,1,0.0112,0.0014,0.0014,0.06466,0.00073,0.00073,0.16,0.12,0.11,4817.1,62.0,0.083,0.058,4.575,0.021,0.757,0.013,0.788,0.027,6.4869,1.01,0.15308
HD 219134 e,HD 219134 e,HD 219134,HD219134,219134,2,0.0243,0.0023,0.0022,0.1453,0.0016,0.0016,0.072,0.078,0.051,4817.1,62.0,0.083,0.058,4.575,0.021,0.757,0.013,0.788,0.027,6.4869,1.01,0.15308
HD 219134c,HD 219134c,HD 219134,HD219134,219134,3,0.0516,0.0032,0.003,0.2346,0.0026,0.0027,0.077,0.055,0.05,4817.1,62.0,0.083,0.058,4.575,0.021,0.757,0.013,0.788,0.027,6.4869,1.01,0.15308
HD 219134 b,HD 219134 b,HD 219134,HD219134,219134,4,0.308,0.014,0.014,2.968,0.037,0.037,0.025,0.027,0.018,4817.1,62.0,0.083,0.058,4.575,0.021,0.757,0.013,0.788,0.027,6.4869,1.01,0.15308
HD 22049 b,eps Eri b,HD 22049,HD22049,22049,0,0.651,0.039,0.039,3.5,0.039,0.04,0.044,0.047,0.031,5020.4,57.7,-0.044,0.058,4.59,0.018,0.759,0.012,0.815,0.024,6.192,0.88,0.31094
HD 222582 b,HD 222582 b,HD 222582,HD222582,222582,0,7.88,0.24,0.24,1.335,0.02,0.02,0.7615,0.0035,0.0034,5746.7,91.8,0.017,0.061,4.305,0.031,1.145,0.027,0.969,0.043,4.5865,0.6,0.02369
HD 24040c,HD 24040c,HD 24040,HD24040,24040,0,0.201,0.027,0.027,1.3,0.021,0.021,0.11,0.12,0.079,5776.5,84.6,0.197,0.059,4.197,0.029,1.387,0.031,1.104,0.053,4.1822,0.66,0.02142
